,Bottom 40%,Next 40%,Top 1%,Top 10%,Top 20%,Top 5%
1850-12-31,11.699174,35.625896,10.409592,36.485836,52.674931,24.905777
1851-12-31,11.5958489,35.5113999,10.3735085,36.6354049,52.8927521,24.9780598
1852-12-31,11.492523799999999,35.3969038,10.337425,36.784973799999996,53.1105732,25.0503426
1853-12-31,11.3891987,35.2824077,10.3013415,36.9345427,53.3283943,25.1226254
1854-12-31,11.285873599999999,35.1679116,10.265258,37.0841116,53.5462154,25.1949082
1855-12-31,11.1825485,35.0534155,10.2291745,37.2336805,53.7640365,25.267191
1856-12-31,11.0792234,34.9389194,10.193091,37.3832494,53.9818576,25.3394738
1857-12-31,10.975898299999999,34.8244233,10.1570075,37.532818299999995,54.1996787,25.4117566
1858-12-31,10.8725732,34.7099272,10.120924,37.6823872,54.4174998,25.4840394
1859-12-31,10.769248099999999,34.5954311,10.0848405,37.8319561,54.635320899999996,25.5563222
1860-12-31,10.665923,34.480935,10.048757,37.981525,54.853142,25.628605
1861-12-31,10.7111209,34.4075915,10.01942642,38.118314399999996,54.8812876,25.7879031
1862-12-31,10.756318799999999,34.334248,9.99009584,38.2551038,54.909433199999995,25.9472012
1863-12-31,10.8015167,34.2609045,9.96076526,38.3918932,54.9375788,26.1064993
1864-12-31,10.8467146,34.187561,9.93143468,38.528682599999996,54.9657244,26.2657974
1865-12-31,10.8919125,34.1142175,9.902104099999999,38.665471999999994,54.99387,26.425095499999998
1866-12-31,10.9371104,34.040874,9.872773519999999,38.8022614,55.022015599999996,26.5843936
1867-12-31,10.9823083,33.9675305,9.84344294,38.9390508,55.0501612,26.7436917
1868-12-31,11.027506200000001,33.894187,9.81411236,39.075840199999995,55.0783068,26.9029898
1869-12-31,11.072704100000001,33.8208435,9.78478178,39.2126296,55.106452399999995,27.062287899999998
1870-12-31,11.117902,33.7475,9.7554512,39.349419,55.134598,27.221586
1871-12-31,11.088183349767442,33.70709302209303,9.962068613953488,39.40966509302325,55.197049232558136,27.317363069767442
1872-12-31,11.058464699534884,33.66668604418605,10.168686027906976,39.46991118604651,55.259500465116275,27.41314013953488
1873-12-31,11.028746049302326,33.626279066279075,10.375303441860465,39.53015727906976,55.321951697674415,27.508917209302325
1874-12-31,10.999027399069767,33.58587208837209,10.581920855813953,39.59040337209302,55.384402930232554,27.604694279069765
1875-12-31,10.96930874883721,33.545465110465116,10.788538269767441,39.650649465116274,55.44685416279069,27.70047134883721
1876-12-31,10.939590098604652,33.50505813255814,10.99515568372093,39.71089555813953,55.50930539534883,27.796248418604648
1877-12-31,10.909871448372094,33.464651154651165,11.201773097674419,39.771141651162786,55.57175662790697,27.89202548837209
1878-12-31,10.880152798139536,33.42424417674419,11.408390511627907,39.831387744186046,55.63420786046511,27.987802558139535
1879-12-31,10.850434147906977,33.38383719883721,11.615007925581395,39.8916338372093,55.69665909302325,28.083579627906975
1880-12-31,10.820715497674419,33.34343022093024,11.821625339534883,39.95187993023256,55.75911032558139,28.179356697674418
1881-12-31,10.79099684744186,33.303023243023254,12.028242753488371,40.01212602325581,55.821561558139535,28.275133767441858
1882-12-31,10.761278197209302,33.26261626511628,12.23486016744186,40.07237211627907,55.884012790697675,28.3709108372093
1883-12-31,10.731559546976746,33.2222092872093,12.441477581395349,40.13261820930232,55.946464023255814,28.466687906976745
1884-12-31,10.701840896744187,33.18180230930233,12.648094995348837,40.19286430232558,56.00891525581395,28.562464976744184
1885-12-31,10.672122246511629,33.14139533139535,12.854712409302326,40.253110395348834,56.07136648837209,28.658242046511628
1886-12-31,10.64240359627907,33.100988353488376,13.061329823255814,40.313356488372094,56.13381772093023,28.754019116279068
1887-12-31,10.612684946046512,33.0605813755814,13.267947237209302,40.373602581395346,56.19626895348837,28.84979618604651
1888-12-31,10.582966295813954,33.02017439767442,13.47456465116279,40.433848674418606,56.25872018604651,28.945573255813954
1889-12-31,10.553247645581395,32.97976741976744,13.681182065116278,40.49409476744186,56.32117141860465,29.041350325581394
1890-12-31,10.523528995348837,32.939360441860465,13.887799479069766,40.55434086046512,56.38362265116279,29.137127395348838
1891-12-31,10.493810345116279,32.89895346395349,14.094416893023256,40.61458695348837,56.44607388372093,29.232904465116277
1892-12-31,10.464091694883722,32.858546486046514,14.301034306976744,40.67483304651163,56.50852511627907,29.32868153488372
1893-12-31,10.434373044651164,32.81813950813954,14.507651720930234,40.73507913953488,56.570976348837206,29.42445860465116
1894-12-31,10.404654394418605,32.77773253023256,14.714269134883722,40.79532523255814,56.633427581395345,29.520235674418604
1895-12-31,10.374935744186047,32.737325552325586,14.92088654883721,40.855571325581394,56.695878813953485,29.616012744186044
1896-12-31,10.345217093953488,32.6969185744186,15.127503962790698,40.915817418604654,56.758330046511624,29.711789813953487
1897-12-31,10.31549844372093,32.65651159651163,15.334121376744186,40.976063511627906,56.82078127906976,29.80756688372093
1898-12-31,10.285779793488372,32.61610461860465,15.540738790697674,41.036309604651166,56.8832325116279,29.90334395348837
1899-12-31,10.256061143255813,32.575697640697676,15.747356204651163,41.09655569767442,56.94568374418604,29.999121023255814
1900-12-31,10.226342493023257,32.5352906627907,15.953973618604651,41.15680179069768,57.00813497674418,30.094898093023254
1901-12-31,10.196623842790698,32.494883684883725,16.16059103255814,41.21704788372093,57.07058620930232,30.190675162790697
1902-12-31,10.16690519255814,32.45447670697675,16.36720844651163,41.27729397674419,57.133037441860466,30.28645223255814
1903-12-31,10.137186542325582,32.414069729069766,16.573825860465117,41.33754006976744,57.195488674418606,30.38222930232558
1904-12-31,10.107467892093023,32.37366275116279,16.780443274418605,41.3977861627907,57.257939906976745,30.478006372093024
1905-12-31,10.077749241860465,32.333255773255814,16.987060688372093,41.458032255813954,57.320391139534884,30.573783441860463
1906-12-31,10.048030591627906,32.29284879534884,17.19367810232558,41.518278348837214,57.38284237209302,30.669560511627907
1907-12-31,10.018311941395348,32.25244181744186,17.40029551627907,41.578524441860466,57.44529360465116,30.76533758139535
1908-12-31,9.98859329116279,32.21203483953489,17.60691293023256,41.638770534883726,57.5077448372093,30.86111465116279
1909-12-31,9.958874640930233,32.17162786162791,17.81353034418605,41.69901662790698,57.57019606976744,30.956891720930233
1910-12-31,9.929155990697675,32.13122088372093,18.020147758139537,41.75926272093024,57.63264730232558,31.052668790697673
1911-12-31,9.899437340465116,32.09081390581395,18.226765172093025,41.81950881395349,57.69509853488372,31.148445860465117
1912-12-31,9.869718690232558,32.05040692790698,18.433382586046513,41.87975490697674,57.75754976744186,31.24422293023256
1913-12-31,9.84000004,32.00999995,18.64,41.940001,57.820001,31.34
1914-12-31,9.730000010000001,31.60000013,19.140001,42.53,58.24999989999999,31.999999000000003
1915-12-31,9.89000003,32.08000005,18.56,41.79,57.63999989999999,31.240001
1916-12-31,9.47000005,30.790000100000004,20.5,43.959998999999996,59.33999909999999,33.770001
1917-12-31,9.38000003,30.59000004,20.01,44.510001,59.610001000000004,34.48
1918-12-31,9.55000002,31.00000007,18.979999,43.41,59.230000000000004,33.700001
1919-12-31,9.32000001,30.28,20.979999999999997,45.22,60.189999900000004,36.199999
1920-12-31,9.65000002,31.33000003,18.39,43.16,58.7400001,33.51
1921-12-31,9.040000000000001,29.400000130000002,18.05,46.14,61.1900001,34.57
1922-12-31,9.21000003,30.040000060000004,17.550001,45.15,60.390000099999995,33.809999000000005
1923-12-31,9.69000002,31.420000070000004,16.98,42.840001,58.640001100000006,32.229999
1924-12-31,9.15000002,29.82999999,17.659999000000003,44.980000999999994,60.690000899999994,33.6
1925-12-31,8.84000004,28.7500001,20.020001,46.759999,62.1099991,36.160001
